metric_id,metrics,display_names,operating_system_type,feature_name,unique_identifier,metric_nature,level_1,level_2,level_3,level_4,level_5,hierarchy_id,parent_id_old,metric_sequence_num,metric_seqno,level_no,feature_id,feature_seq_num,parent_id,create_dt
52,DR_Direct Ecomm order Traffic sent from cox.com,Total Orders from web ecomm,Apple iOS,E COMMERCE,EC,Positive,,,,,,,,52,2,1,4,8,,31-01-2025
53,DR_Direct Ecomm Traffic sent from App to cox.com,Visits sent from app to cox.com,Apple iOS,E COMMERCE,EC,Positive,Visits sent from app to cox.com,,,,,Apple iOS_EC_1,,53,3,1,4,8,,31-01-2025
54,DR_Direct Ecomm order Traffic sent from App to cox.com,Orders generated,Apple iOS,E COMMERCE,EC,Positive,,,,,,,,54,4,1,4,8,,31-01-2025
55,DR_Data Plan Upgrade Ecomm Traffic sent from App to cox.com,Data Usage,Apple iOS,E COMMERCE,EC,Positive,,Data Usage,,,,Apple iOS_EC_1.1,Apple iOS_EC_1,55,5,2,4,8,53,31-01-2025
56,DR_Service Plan Upgrade Ecomm Traffic sent from App to cox.com,Plan Changes,Apple iOS,E COMMERCE,EC,Positive,,Plan Changes,,,,Apple iOS_EC_1.2,Apple iOS_EC_1,56,6,2,4,8,53,31-01-2025
57,DR_CRO Ecomm Traffic sent from App to cox.com,CRO,Apple iOS,E COMMERCE,EC,Positive,,CRO,,,,Apple iOS_EC_1.3,Apple iOS_EC_1,57,7,2,4,8,53,31-01-2025
58,DR_Transfer Ecomm Traffic sent from App to cox.com,Transfer,Apple iOS,E COMMERCE,EC,Positive,,Transfer,,,,Apple iOS_EC_1.4,Apple iOS_EC_1,58,8,2,4,8,53,31-01-2025
59,DR_Visits where One EC Card was shown,Easy Connect Eligible Visits,Apple iOS,EASY CON NECT,ECN,Positive,Easy Connect Eligible Visits,,,,,Apple iOS_ECN_1,,59,1,1,5,4,,31-01-2025
60,DR_EC Flow>Success,Overall Success,Apple iOS,EASY CON NECT,ECN,Positive,,Overall Success,,,,Apple iOS_ECN_1.1,Apple iOS_ECN_1,60,2,2,5,4,59,31-01-2025
61,DR_EC>Failure,Overall Failure,Apple iOS,EASY CON NECT,ECN,Negative,,Overall Failure,,,,Apple iOS_ECN_1.2,Apple iOS_ECN_1,61,3,2,5,4,59,31-01-2025
62,DR_EC Flow>Timeout,Overall Timeout,Apple iOS,EASY CON NECT,ECN,Negative,,Overall Timeout,,,,Apple iOS_ECN_1.3,Apple iOS_ECN_1,62,4,2,5,4,59,31-01-2025
63,DR_EC>No Result,Overall No Result,Apple iOS,EASY CON NECT,ECN,Negative,,Overall No Result,,,,Apple iOS_ECN_1.4,Apple iOS_ECN_1,63,5,2,5,4,59,31-01-2025
64,DR_Easy Connect - Started,Started the Flow,Apple iOS,EASY CON NECT,ECN,Positive,,Started the Flow,,,,Apple iOS_ECN_1.5,Apple iOS_ECN_1,64,6,2,5,4,59,31-01-2025
65,DR_Easy Connect Started - Success,Success,Apple iOS,EASY CON NECT,ECN,Positive,,,Success,,,Apple iOS_ECN_1.5.1,Apple iOS_ECN_1.5,65,7,3,5,4,64,31-01-2025
66,DR_Easy Connect Started - Failure,Failure,Apple iOS,EASY CON NECT,ECN,Negative,,,Failure,,,Apple iOS_ECN_1.5.2,Apple iOS_ECN_1.5,66,8,3,5,4,64,31-01-2025
67,DR_Easy Connect Started - Timeout,Timeout,Apple iOS,EASY CON NECT,ECN,Negative,,,Timeout,,,Apple iOS_ECN_1.5.3,Apple iOS_ECN_1.5,67,9,3,5,4,64,31-01-2025
