create_dt,metric_id,feature_id,unique_identifier,feature_name,metrics,display_names,operating_system_type,1st Quartile,3rd Quartile,IQR,Upper,Lower,Yesterday,last_7_days,last_30_days,% Change Last 7 Days,% Change Last 30 Days,Date,Value
2025-01-22,195,15,SH,SMART HELP,DR_Smarthelp P&P - Interacted with Chat Agent,Smarthelp_P&P Interacted with Chat,Apple iOS,13.686,15.266,1.58,16.451,12.501,17.745,15.376,14.751,15.408200239707897,20.29964747356053,29-08-2024,14.23
2025-01-22,Both_ID_29,15,SH,SMART HELP,DR_Smarthelp P&P - Interacted with Chat Agent,Smarthelp_P&P Interacted with Chat,Both,13.815,15.233,1.418,16.297,12.751,17.206,15.596,15.098,10.321138732665279,13.963623839234856,29-08-2024,13.645
2025-01-22,429,15,SH,SMART HELP,DR_Smarthelp P&P - Interacted with Chat Agent,Smarthelp_P&P Interacted with Chat,Google Android,13.387,15.799,2.412,17.608,11.578,16.092,16.086,15.866,0.03818793794014711,1.4271997848590412,29-08-2024,12.41
2025-01-22,191,15,SH,SMART HELP,DR_Smarthelp P&P - Let's troubleshoot together,Started P&P troubleshooting,Apple iOS,53.177,55.748,2.571,57.677,51.249,58.797,57.563,55.245,2.1439916612895087,6.430311740876042,29-08-2024,55.257
2025-01-22,Both_ID_25,15,SH,SMART HELP,DR_Smarthelp P&P - Let's troubleshoot together,Started P&P troubleshooting,Both,52.982,55.555,2.573,57.485,51.053,58.569,57.88,55.442,1.1906436732245942,5.639620313743787,29-08-2024,54.714
2025-01-22,425,15,SH,SMART HELP,DR_Smarthelp P&P - Let's troubleshoot together,Started P&P troubleshooting,Google Android,52.032,56.274,4.242,59.455,48.85,58.098,58.555,55.869,-0.7802207453816254,3.989566080693452,29-08-2024,53.568
2025-01-22,190,15,SH,SMART HELP,DR_SmartHelp - P&P,Started Proactive and Preventive (P&P),Apple iOS,59.581,61.735,2.154,63.351,57.965,61.333,62.051,61.203,-1.1566575727227748,0.2127353650486613,29-08-2024,59.379
2025-01-22,Both_ID_24,15,SH,SMART HELP,DR_SmartHelp - P&P,Started Proactive and Preventive (P&P),Both,58.026,60.204,2.178,61.837,56.392,60.255,60.61,59.58,-0.5850089684090507,1.132251545810388,29-08-2024,58.565
2025-01-22,424,15,SH,SMART HELP,DR_SmartHelp - P&P,Started Proactive and Preventive (P&P),Google Android,54.519,57.454,2.934,59.654,52.318,58.141,57.85,56.29,0.5037696291119647,3.287777823177344,29-08-2024,56.916
2025-01-22,142,11,RM,RESET MODEM,DR_Reset Modem - Started Rebooting Process,Started Reset Process,Apple iOS,91.086,93.581,2.495,95.453,89.214,93.395,93.364,92.787,0.03335643802205122,0.65486644913227,29-08-2024,91.199
2025-01-22,Both_ID_2,11,RM,RESET MODEM,DR_Reset Modem - Started Rebooting Process,Started Reset Process,Both,91.214,93.586,2.372,95.366,89.435,93.28,93.354,92.738,-0.07896234903805498,0.5843698847866288,29-08-2024,91.306
2025-01-22,378,11,RM,RESET MODEM,DR_Reset Modem - Started Rebooting Process,Started Reset Process,Google Android,91.448,93.358,1.911,94.792,90.015,92.958,93.319,92.596,-0.3873025981421919,0.39130700860730516,29-08-2024,91.625
2025-01-22,184,15,SH,SMART HELP,DR_SmartHelp - Started,Started Troubleshooting (Solution Center),Apple iOS,2.477,3.052,0.575,3.484,2.046,2.481,2.883,2.705,-13.935279250706193,-8.278700645733728,29-08-2024,2.323
2025-01-22,Both_ID_18,15,SH,SMART HELP,DR_SmartHelp - Started,Started Troubleshooting (Solution Center),Both,2.515,3.071,0.556,3.489,2.097,2.525,3.102,2.807,-18.61214716581481,-10.05699358822134,29-08-2024,2.45
2025-01-22,418,15,SH,SMART HELP,DR_SmartHelp - Started,Started Troubleshooting (Solution Center),Google Android,2.568,3.342,0.774,3.922,1.987,2.612,3.525,3.013,-25.897706087379436,-13.29844322242998,29-08-2024,2.707
2025-01-22,186,15,SH,SMART HELP,DR_SmartHelp Result - Unknown,1st common reason (Unknown),Apple iOS,54.423,73.521,19.099,87.845,40.099,66.216,58.29,59.206,13.598364814093175,11.839638416246919,30-08-2024,84.0
2025-01-22,Both_ID_20,15,SH,SMART HELP,DR_SmartHelp Result - Unknown,1st common reason (Unknown),Both,54.716,70.603,15.886,82.518,42.801,64.151,56.409,58.838,13.724184214858234,9.030743414351164,30-08-2024,80.556
2025-01-22,420,15,SH,SMART HELP,DR_SmartHelp Result - Unknown,1st common reason (Unknown),Google Android,50.0,72.135,22.135,88.737,33.399,59.375,53.121,58.332,11.773722922185334,1.7883898662479107,30-08-2024,72.727
2025-01-22,187,15,SH,SMART HELP,DR_SmartHelp Result - Disconnected,2nd common reason (Disconnected),Apple iOS,10.098,23.292,13.195,33.189,0.201,21.622,20.06,23.126,7.788175305160307,-6.50161581859013,30-08-2024,10.0
2025-01-22,Both_ID_21,15,SH,SMART HELP,DR_SmartHelp Result - Disconnected,2nd common reason (Disconnected),Both,12.419,24.12,11.701,32.896,3.643,23.585,22.08,23.356,6.816814290982733,0.9786026119855586,30-08-2024,11.111
2025-01-22,421,15,SH,SMART HELP,DR_SmartHelp Result - Disconnected,2nd common reason (Disconnected),Google Android,10.07,25.436,15.365,36.96,-1.453,28.125,25.846,23.867,8.817010551450059,17.84267252516426,30-08-2024,13.636
2025-01-22,188,15,SH,SMART HELP,DR_SmartHelp Result - Incomplete Install,3rd common reason (Incomplete Install),Apple iOS,1.618,6.645,5.027,10.415,-2.152,6.757,9.258,6.236,-27.016726330082708,8.354135374516916,30-08-2024,4.0
2025-01-22,Both_ID_22,15,SH,SMART HELP,DR_SmartHelp Result - Incomplete Install,3rd common reason (Incomplete Install),Both,2.532,7.189,4.657,10.682,-0.961,6.604,10.671,7.382,-38.11429871885835,-10.539957193559177,30-08-2024,5.556
2025-01-22,422,15,SH,SMART HELP,DR_SmartHelp Result - Incomplete Install,3rd common reason (Incomplete Install),Google Android,2.174,9.661,7.487,15.276,-3.441,6.25,13.843,9.852,-54.851293058966796,-36.56046041880247,30-08-2024,9.091
