metric_id,metrics,display_names,operating_system_type,feature_name,unique_identifier,level_1,level_2,level_3,level_4,level_5,hierarchy_id,parent_id_old,metric_sequence_num,level_no,feature_id,parent_id,metric_nature,create_dt
96,DR_Login Page Visits,Login Page Visits,Apple iOS,LOG IN,LI,Login Page Visits,,,,,Apple iOS_LI_1,,96,1,7,,Positive,2025-01-27
97,DR_Successful logins,Login Success Rate,Apple iOS,LOG IN,LI,,Login Success Rate,,,,Apple iOS_LI_1.1,Apple iOS_LI_1,97,2,7,96.0,Positive,2025-01-27
98,DR_Auto Logins,Share of Auto Login (Remember/Biometrics),Apple iOS,LOG IN,LI,,,Share of Auto Login (Remember/Biometrics),,,Apple iOS_LI_1.1.1,Apple iOS_LI_1.1,98,3,7,97.0,Positive,2025-01-27
99,DR_Clicks to MFA Verification,with TSV,Apple iOS,LOG IN,LI,,with TSV,,,,Apple iOS_LI_1.2,Apple iOS_LI_1,99,2,7,96.0,Positive,2025-01-27
100,DR_Clicks on Forgot User ID,User ID Recovery,Apple iOS,LOG IN,LI,,User ID Recovery,,,,Apple iOS_LI_1.3,Apple iOS_LI_1,100,2,7,96.0,Negative,2025-01-27
101,Clicks on Forgot Password,Password Reset,Apple iOS,LOG IN,LI,,Password Reset,,,,Apple iOS_LI_1.4,Apple iOS_LI_1,101,2,7,96.0,Negative,2025-01-27
102,DR_Need to Register,Registration,Apple iOS,LOG IN,LI,,Registration,,,,Apple iOS_LI_1.5,Apple iOS_LI_1,102,2,7,96.0,Positive,2025-01-27
103,DR_Notification status Exists,Notifi_center Visits with Bell icon,Apple iOS,NOTIFICATION CENTER,NC,Notifi_center Visits with Bell icon,,,,,Apple iOS_NC_1,,103,1,8,,Positive,2025-01-27
104,DR_Notification received visits,Notifi_center Visits with new notifications,Apple iOS,NOTIFICATION CENTER,NC,,Notifi_center Visits with new notifications,,,,Apple iOS_NC_1.1,Apple iOS_NC_1,104,2,8,103.0,Positive,2025-01-27
105,DR_Notification page Visits,Notifi_center Clicked bell with new notifications,Apple iOS,NOTIFICATION CENTER,NC,,,Notifi_center Clicked bell with new notifications,,,Apple iOS_NC_1.1.1,Apple iOS_NC_1.1,105,3,8,104.0,Positive,2025-01-27
106,DR_Notification Viewed with new notifications,Notifi_center Viewed,Apple iOS,NOTIFICATION CENTER,NC,,,,Notifi_center Viewed,,Apple iOS_NC_1.1.1.1,Apple iOS_NC_1.1.1,106,4,8,105.0,Positive,2025-01-27
107,DR_Notification Declined with new notifications,Notifi_center Declined,Apple iOS,NOTIFICATION CENTER,NC,,,,Notifi_center Declined,,Apple iOS_NC_1.1.1.2,Apple iOS_NC_1.1.1,107,4,8,105.0,Negative,2025-01-27
108,DR_Notification accepted with new notifications,Notifi_center Accepted,Apple iOS,NOTIFICATION CENTER,NC,,,,Notifi_center Accepted,,Apple iOS_NC_1.1.1.3,Apple iOS_NC_1.1.1,108,4,8,105.0,Positive,2025-01-27
109,DR_No action on new notifications,Notifi_center No Action,Apple iOS,NOTIFICATION CENTER,NC,,,,Notifi_center No Action,,Apple iOS_NC_1.1.1.4,Apple iOS_NC_1.1.1,109,4,8,105.0,Negative,2025-01-27
