metric_id,metrics,operating_system_type,display_names,feature_name,unique_identifier,level_1,level_2,level_3,level_4,level_5,hierarchy_id,parent_id_old,metric_sequence_num,level_no,feature_id,parent_id,create_dt
151,DR_Reset Tvbox - Complete,Apple iOS,Reset_TV Process Complete,RESET TV BOX,RTB,,,Reset_TV Process Complete,,,Apple iOS_RTB_1.1.1,Apple iOS_RTB_1.1,151,3,12,150,1/3/2025
152,DR_Reset Tvbox - Incomplete,Apple iOS,Reset_TV Process Incomplete,RESET TV BOX,RTB,,,Reset_TV Process Incomplete,,,Apple iOS_RTB_1.1.2,Apple iOS_RTB_1.1,152,3,12,150,1/3/2025
153,DR_Reset Tvbox - Agent Chat,Apple iOS,Reset_TV Interacted with Chat,RESET TV BOX,RTB,,,Reset_TV Interacted with Chat,,,Apple iOS_RTB_1.1.3,Apple iOS_RTB_1.1,153,3,12,150,1/3/2025
154,DR_Reset Tvbox - Error Outage,Apple iOS,Reset_TV Error Outage,RESET TV BOX,RTB,,Reset_TV Error Outage,,,,Apple iOS_RTB_1.2,Apple iOS_RTB_1,154,2,12,149,1/3/2025
155,DR_Reset Tvbox Error - Non Pay,Apple iOS,Reset_TV Non Pay Error,RESET TV BOX,RTB,,Reset_TV Non Pay Error,,,,Apple iOS_RTB_1.3,Apple iOS_RTB_1,155,2,12,149,1/3/2025
156,DR_Reset Tvbox Error - DMCA,Apple iOS,Reset_TV DMCA Error,RESET TV BOX,RTB,,Reset_TV DMCA Error,,,,Apple iOS_RTB_1.4,Apple iOS_RTB_1,156,2,12,149,1/3/2025
157,DR_Alert Type Visits,Apple iOS,Visits with Service Alert,SERVICE ALERT,SA,Visits with Service Alert,,,,,Apple iOS_SA_1,,157,1,13,,1/3/2025
158,DR_Outage Alert,Apple iOS,Service_alert Outage,SERVICE ALERT,SA,,Service_alert Outage,,,,Apple iOS_SA_1.1,Apple iOS_SA_1,158,2,13,157,1/3/2025
159,Dr_Campaign Rolloff Alert,Apple iOS,Service_alert Campaign Rolloff,SERVICE ALERT,SA,,Service_alert Campaign Rolloff,,,,Apple iOS_SA_1.2,Apple iOS_SA_1,159,2,13,157,1/3/2025
160,Dr_NonPay Suspension Alert,Apple iOS,Service_alert NonPay Suspension,SERVICE ALERT,SA,,Service_alert NonPay Suspension,,,,Apple iOS_SA_1.3,Apple iOS_SA_1,160,2,13,157,1/3/2025
161,Dr_Network Construction Alert,Apple iOS,Service_alert Network Construction,SERVICE ALERT,SA,,Service_alert Network Construction,,,,Apple iOS_SA_1.4,Apple iOS_SA_1,161,2,13,157,1/3/2025
162,Dr_DMCA Termination Alert,Apple iOS,Service_alert DMCA Termination,SERVICE ALERT,SA,,Service_alert DMCA Termination,,,,Apple iOS_SA_1.5,Apple iOS_SA_1,162,2,13,157,1/3/2025
163,server:error:CC-CLIENT_ERROR,Apple iOS,,SERVER ERRORS,SE,,,,,,,,163,1,14,,1/3/2025
164,server:error:CC-NO-INTERNET,Apple iOS,,SERVER ERRORS,SE,,,,,,,,164,1,14,,1/3/2025
165,server:error:CC-INTERNAL_ERROR,Apple iOS,,SERVER ERRORS,SE,,,,,,,,165,1,14,,1/3/2025
166,server:error:CC-PAYMENT_AUTH_FAILED,Apple iOS,,SERVER ERRORS,SE,,,,,,,,166,1,14,,1/3/2025
167,server:error:unable_to_retrieve_data_usage_information_at_this_time.,Apple iOS,,SERVER ERRORS,SE,,,,,,,,167,1,14,,1/3/2025
168,server:error:CC-ACCOUNT_NOT_FOUND,Apple iOS,,SERVER ERRORS,SE,,,,,,,,168,1,14,,1/3/2025
169,server:error:CC-USERNAME-ALREADY-EXISTS,Apple iOS,,SERVER ERRORS,SE,,,,,,,,169,1,14,,1/3/2025
170,server:error:CC-PASSWORD_DENIED,Apple iOS,,SERVER ERRORS,SE,,,,,,,,170,1,14,,1/3/2025
171,server:error:CC-SECURITY_TOKEN_NOT_FOUND,Apple iOS,,SERVER ERRORS,SE,,,,,,,,171,1,14,,1/3/2025
172,server:error:CC-PAYMENT_UNKNOWN_ERROR,Apple iOS,,SERVER ERRORS,SE,,,,,,,,172,1,14,,1/3/2025
173,server:error:CC-DUPLICATE_PAYMENT,Apple iOS,,SERVER ERRORS,SE,,,,,,,,173,1,14,,1/3/2025
174,server:error:CC-INVALID_ZIPCODE,Apple iOS,,SERVER ERRORS,SE,,,,,,,,174,1,14,,1/3/2025
175,server:error:CC-PRIMARY-IDENTITY-ALREADY-EXISTS,Apple iOS,,SERVER ERRORS,SE,,,,,,,,175,1,14,,1/3/2025
176,server:error:CC-INVALID_CVV,Apple iOS,,SERVER ERRORS,SE,,,,,,,,176,1,14,,1/3/2025
177,server:error:CC-INVALID_CARD_NUMBER,Apple iOS,,SERVER ERRORS,SE,,,,,,,,177,1,14,,1/3/2025
178,server:error:CC-APPOINTMENT-SLOT-ERROR,Apple iOS,,SERVER ERRORS,SE,,,,,,,,178,1,14,,1/3/2025
179,server:error:CC-PAYMENT_METHOD_RESTRICTED,Apple iOS,,SERVER ERRORS,SE,,,,,,,,179,1,14,,1/3/2025
180,server:error:CC-INVALID_ROUTING_NUMBER,Apple iOS,,SERVER ERRORS,SE,,,,,,,,180,1,14,,1/3/2025
181,server:error:CC-SECURE_TOKEN_ALREADY_VERIFIED,Apple iOS,,SERVER ERRORS,SE,,,,,,,,181,1,14,,1/3/2025
182,server:error:CC-VALIDATION_ERROR,Apple iOS,,SERVER ERRORS,SE,,,,,,,,182,1,14,,1/3/2025
183,DR_SmartHelp - Landing Page,Apple iOS,Devices Page Visits,SMART HELP,SH,Devices Page Visits,,,,,Apple iOS_SH_1,,183,1,15,,1/3/2025
184,DR_SmartHelp - Started,Apple iOS,Started Troubleshooting (Solution Center),SMART HELP,SH,,Started Troubleshooting (Solution Center),,,,Apple iOS_SH_1.1,Apple iOS_SH_1,184,2,15,183,1/3/2025
185,DR_SmartHelp - Result,Apple iOS,Saw a Result,SMART HELP,SH,,,Saw a Result,,,Apple iOS_SH_1.1.1,Apple iOS_SH_1.1,185,3,15,184,1/3/2025
186,DR_SmartHelp Result - Unknown,Apple iOS,1st common reason (Unknown),SMART HELP,SH,,,,1st common reason (Unknown),,Apple iOS_SH_1.1.1.1,Apple iOS_SH_1.1.1,186,4,15,185,1/3/2025
187,DR_SmartHelp Result - Disconnected,Apple iOS,2nd common reason (Disconnected),SMART HELP,SH,,,,2nd common reason (Disconnected),,Apple iOS_SH_1.1.1.2,Apple iOS_SH_1.1.1,187,4,15,185,1/3/2025
188,DR_SmartHelp Result - Incomplete Install,Apple iOS,3rd common reason (Incomplete Install),SMART HELP,SH,,,,3rd common reason (Incomplete Install),,Apple iOS_SH_1.1.1.3,Apple iOS_SH_1.1.1,188,4,15,185,1/3/2025
189,DR_SmartHelp - Reboot Flow Started,Apple iOS,Did a Device Reboot,SMART HELP,SH,,Did a Device Reboot,,,,Apple iOS_SH_1.2,Apple iOS_SH_1,189,2,15,183,1/3/2025
190,DR_SmartHelp - P&P,Apple iOS,Started Proactive and Preventive (P&P),SMART HELP,SH,,Started Proactive and Preventive (P&P),,,,Apple iOS_SH_1.3,Apple iOS_SH_1,190,2,15,183,1/3/2025
191,DR_Smarthelp P&P - Let's troubleshoot together,Apple iOS,Started P&P troubleshooting,SMART HELP,SH,,,Started P&P troubleshooting,,,Apple iOS_SH_1.3.1,Apple iOS_SH_1.3,191,3,15,190,1/3/2025
192,DR_Smarthelp P&P - Reset Complete,Apple iOS,Smarthelp Reset Complete,SMART HELP,SH,,,Smarthelp Reset Complete,,,Apple iOS_SH_1.3.2,Apple iOS_SH_1.3,192,3,15,190,1/3/2025
193,DR_Smarthelp P&P - Let's schedule a technician visit,Apple iOS,Schedule Tech,SMART HELP,SH,,,Schedule Tech,,,Apple iOS_SH_1.3.3,Apple iOS_SH_1.3,193,3,15,190,1/3/2025
194,DR_Smarthelp P&P - Connect with a support agent,Apple iOS,Connect with Agent,SMART HELP,SH,,,Connect with Agent,,,Apple iOS_SH_1.3.4,Apple iOS_SH_1.3,194,3,15,190,1/3/2025
195,DR_Smarthelp P&P - Interacted with Chat Agent,Apple iOS,Smarthelp_P&P Interacted with Chat,SMART HELP,SH,,,Smarthelp_P&P Interacted with Chat,,,Apple iOS_SH_1.3.5,Apple iOS_SH_1.3,195,3,15,190,1/3/2025
196,DR_SmartHelp - Billing & Account Support,Apple iOS,Clicked Billing & Account Support,SMART HELP,SH,,Clicked Billing & Account Support,,,,Apple iOS_SH_1.4,Apple iOS_SH_1,196,2,15,183,1/3/2025
197,DR_SmartHelp - Internet Support,Apple iOS,Clicked Internet Support,SMART HELP,SH,,Clicked Internet Support,,,,Apple iOS_SH_1.5,Apple iOS_SH_1,197,2,15,183,1/3/2025
198,DR_SmartHelp - TV Support,Apple iOS,Clicked TV Support,SMART HELP,SH,,Clicked TV Support,,,,Apple iOS_SH_1.6,Apple iOS_SH_1,198,2,15,183,1/3/2025
199,DR_SmartHelp - Homelife Support,Apple iOS,Clicked Homelife Support,SMART HELP,SH,,Clicked Homelife Support,,,,Apple iOS_SH_1.7,Apple iOS_SH_1,199,2,15,183,1/3/2025
200,DR_SmartHelp - Agent Chat,Apple iOS,Smarthelp_Interacted with Chat,SMART HELP,SH,,Smarthelp_Interacted with Chat,,,,Apple iOS_SH_1.8,Apple iOS_SH_1,200,2,15,183,1/3/2025
201,DR_Support Home,Apple iOS,Support Home Visits,S UPPORT,SU,Support Home Visits,,,,,Apple iOS_SU_1,,201,1,16,,1/3/2025
202,DR_Support - Internet,Apple iOS,Support Internet Support,S UPPORT,SU,,Support Internet Support,,,,Apple iOS_SU_1.1,Apple iOS_SU_1,202,2,16,201,1/3/2025
203,DR_Support - Billing and Account,Apple iOS,Billing & Account Support,S UPPORT,SU,,Billing & Account Support,,,,Apple iOS_SU_1.2,Apple iOS_SU_1,203,2,16,201,1/3/2025
204,DR_Support - Billing,Apple iOS,Billing Support,S UPPORT,SU,,Billing Support,,,,Apple iOS_SU_1.3,Apple iOS_SU_1,204,2,16,201,1/3/2025
205,DR_Support - Account,Apple iOS,Account Support,S UPPORT,SU,,Account Support,,,,Apple iOS_SU_1.4,Apple iOS_SU_1,205,2,16,201,1/3/2025
206,DR_Support - TV,Apple iOS,Support TV Support,S UPPORT,SU,,Support TV Support,,,,Apple iOS_SU_1.5,Apple iOS_SU_1,206,2,16,201,1/3/2025
207,DR_Support - Homelife,Apple iOS,Support Homelife Support,S UPPORT,SU,,Support Homelife Support,,,,Apple iOS_SU_1.6,Apple iOS_SU_1,207,2,16,201,1/3/2025
208,DR_Support - Mobile,Apple iOS,Support Mobile Support,S UPPORT,SU,,Support Mobile Support,,,,Apple iOS_SU_1.7,Apple iOS_SU_1,208,2,16,201,1/3/2025
209,DR_Support - Read an Article,Apple iOS,Read an Article,S UPPORT,SU,,Read an Article,,,,Apple iOS_SU_1.8,Apple iOS_SU_1,209,2,16,201,1/3/2025
210,DR_Support - Search,Apple iOS,Support Search,S UPPORT,SU,,Support Search,,,,Apple iOS_SU_1.9,Apple iOS_SU_1,210,2,16,201,1/3/2025
211,DR_Support - Click on Exit Link,Apple iOS,Went to External Link,S UPPORT,SU,,Went to External Link,,,,Apple iOS_SU_1.10,Apple iOS_SU_1,211,2,16,201,1/3/2025
212,DR_Support - App Feedback,Apple iOS,App Feedback,S UPPORT,SU,,App Feedback,,,,Apple iOS_SU_1.11,Apple iOS_SU_1,212,2,16,201,1/3/2025
213,DR_Support - Agent chat started,Apple iOS,Support Interacted with Chat,S UPPORT,SU,,Support Interacted with Chat,,,,Apple iOS_SU_1.12,Apple iOS_SU_1,213,2,16,201,1/3/2025
214,DR_TSV Enrollment Home Page,Apple iOS,Visits to TSV Home Page,TWO-STEP VERIFICATION,TV,Visits to TSV Home Page,,,,,Apple iOS_TV_1,,214,1,17,,1/3/2025
215,DR_TSV | Intent to Enrollment,Apple iOS,TSV Enrollment Page,TWO-STEP VERIFICATION,TV,,TSV Enrollment Page,,,,Apple iOS_TV_1.1,Apple iOS_TV_1,215,2,17,214,1/3/2025
216,DR_TSV Enrollment - Success,Apple iOS,TSV Overall Success Rate,TWO-STEP VERIFICATION,TV,,TSV Overall Success Rate,,,,Apple iOS_TV_1.2,Apple iOS_TV_1,216,2,17,214,1/3/2025
217,DR_TSV Enrollment - Update,Apple iOS,TSV Update,TWO-STEP VERIFICATION,TV,,TSV Update,,,,Apple iOS_TV_1.3,Apple iOS_TV_1,217,2,17,214,1/3/2025
218,DR_TSV Enrollment - Server Errors,Apple iOS,TSV Server Errors,TWO-STEP VERIFICATION,TV,,TSV Server Errors,,,,Apple iOS_TV_1.4,Apple iOS_TV_1,218,2,17,214,1/3/2025
219,DR_TSV Enrollment - Phone text,Apple iOS,TSV Phone Text,TWO-STEP VERIFICATION,TV,TSV Phone Text,,,,,Apple iOS_TV_2,,219,1,17,,1/3/2025
220,DR_TSV Enrollment - Phone text Success,Apple iOS,TSV Text Success Rate,TWO-STEP VERIFICATION,TV,,TSV Text Success Rate,,,,Apple iOS_TV_2.1,Apple iOS_TV_2,220,2,17,219,1/3/2025
221,DR_TSV Enrollment - Phone call,Apple iOS,TSV Phone Call,TWO-STEP VERIFICATION,TV,TSV Phone Call,,,,,Apple iOS_TV_3,,221,1,17,,1/3/2025
222,DR_TSV Enrollment - Phone call Success,Apple iOS,TSV Call Success Rate,TWO-STEP VERIFICATION,TV,,TSV Call Success Rate,,,,Apple iOS_TV_3.1,Apple iOS_TV_3,222,2,17,221,1/3/2025
223,DR_TSV Enrollment - Email,Apple iOS,TSV Email Text,TWO-STEP VERIFICATION,TV,TSV Email Text,,,,,Apple iOS_TV_4,,223,1,17,,1/3/2025
224,DR_TSV Enrollment - Email Success,Apple iOS,TSV Email Success Rate,TWO-STEP VERIFICATION,TV,,TSV Email Success Rate,,,,Apple iOS_TV_4.1,Apple iOS_TV_4,224,2,17,223,1/3/2025
225,www.cox.com/residential/mobile/deals.html?sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_mobile_holidays_b,Apple iOS,,U R L,URL,,,,,,,,225,1,18,,1/3/2025
226,www.cox.com/residential/mobile/deals.html?sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_mobile_holidays_2,Apple iOS,,U R L,URL,,,,,,,,226,1,18,,1/3/2025
227,www.cox.com/mobile-shop/devices/apple?sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_mobile_iphone16_ga,Apple iOS,,U R L,URL,,,,,,,,227,1,18,,1/3/2025
228,www.cox.com/mobile-shop/check-device-compatibility.html&sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_mob,Apple iOS,,U R L,URL,,,,,,,,228,1,18,,1/3/2025
229,www.cox.com/mobile-shop/device/motorola-moto-g-play-2024_sapphire-blue?storage=64gb&sc_id=cr_mobile_,Apple iOS,,U R L,URL,,,,,,,,229,1,18,,1/3/2025
230,www.cox.com/residential/refer-a-friend.html?&sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_extole,Apple iOS,,U R L,URL,,,,,,,,230,1,18,,1/3/2025
231,www.cox.com/mobile-shop/devices/apple&sc_id=cr_mobile_app_z_coxapp_z_swrve_emb_mobile_iphone16_PO,Apple iOS,,U R L,URL,,,,,,,,231,1,18,,1/3/2025
232,www.cox.com/residential-shop/repackage-landing.html?sc_id=cr_mobile_app_z_coxapp_z_swrve_push_cro45,Apple iOS,,U R L,URL,,,,,,,,232,1,18,,1/3/2025
233,www.cox.com/residential/move.html?sc_id=cr_mobile_app_z_coxapp_z_swrve_inapp,Apple iOS,,U R L,URL,,,,,,,,233,1,18,,1/3/2025
234,www.cox.com/residential-shop/repackage-landing.html?sc_id=cr_mobile_app_z_coxapp_z_swrve_push_cro00,Apple iOS,,U R L,URL,,,,,,,,234,1,18,,1/3/2025
235,www.cox.com/residential-shop/repackage-landing.html?sc_id=cr_mobile_app_z_coxapp_z_swrve_push_cro21,Apple iOS,,U R L,URL,,,,,,,,235,1,18,,1/3/2025
236,www.cox.com/mobile-shop/devices?brand=apple?intercept=false&sc_id=cr_mobile_app_z_coxapp_z_swrve_emb,Apple iOS,,U R L,URL,,,,,,,,236,1,18,,1/3/2025
237,DR_Visits to Billing Home,Google Android,Billing Section Visits,BIL LING,BL,Billing Section Visits,,,,,Google Android_BL_1,,1,1,1,,1/3/2025
238,DR_Billing Make a Payment,Google Android,Make Payments,BIL LING,BL,,Make Payments,,,,Google Android_BL_1.1,Google Android_BL_1,2,2,1,237,1/3/2025
239,DR_Client Errors on Make Payment,Google Android,Client Errors on Payment Page,BIL LING,BL,,,Client Errors on Payment Page,,,Google Android_BL_1.1.1,Google Android_BL_1.1,3,3,1,238,1/3/2025
240,DR_Server Errors on Make Payment,Google Android,Server Errors on Payment Page,BIL LING,BL,,,Server Errors on Payment Page,,,Google Android_BL_1.1.2,Google Android_BL_1.1,4,3,1,238,1/3/2025
241,DR_Payment Submit,Google Android,Payment Submit,BIL LING,BL,,Payment Submit,,,,Google Android_BL_1.2,Google Android_BL_1,5,2,1,237,1/3/2025
242,DR_Payments,Google Android,Payment Success Rate,BIL LING,BL,,,Payment Success Rate,,,Google Android_BL_1.2.1,Google Android_BL_1.2,6,3,1,241,1/3/2025
243,DR_Promise to Pay,Google Android,Promise to Pay - Linkout,BIL LING,BL,,Promise to Pay - Linkout,,,,Google Android_BL_1.3,Google Android_BL_1,7,2,1,237,1/3/2025
244,DR_Promise to Pay (Native),Google Android,Promise to Pay - Native,BIL LING,BL,,Promise to Pay - Native,,,,Google Android_BL_1.4,Google Android_BL_1,8,2,1,237,1/3/2025
245,DR_CoxApp | Billing - Additional time to pay (Link out),Google Android,Additional time to pay - Linkout,BIL LING,BL,,,Additional time to pay - Linkout,,,Google Android_BL_1.4.1,Google Android_BL_1.4,9,3,1,244,1/3/2025
246,DR_CoxApp | Billing - Future date payment (Link out),Google Android,Future date payment - Linkout,BIL LING,BL,,,Future date payment - Linkout,,,Google Android_BL_1.4.2,Google Android_BL_1.4,10,3,1,244,1/3/2025
247,DR_Billing - View Bill Details,Google Android,Bill Downloads,BIL LING,BL,,Bill Downloads,,,,Google Android_BL_1.5,Google Android_BL_1,11,2,1,237,1/3/2025
248,DR_Billing - Activity & Statements,Google Android,Activity & Statements,BIL LING,BL,,Activity & Statements,,,,Google Android_BL_1.6,Google Android_BL_1,12,2,1,237,1/3/2025
249,DR_Billing - Automatic Payments,Google Android,Easy Pay Enrollments,BIL LING,BL,,Easy Pay Enrollments,,,,Google Android_BL_1.7,Google Android_BL_1,13,2,1,237,1/3/2025
250,DR_Billing - Manage Payment Methods,Google Android,Payment Method Changes,BIL LING,BL,,Payment Method Changes,,,,Google Android_BL_1.8,Google Android_BL_1,14,2,1,237,1/3/2025
251,DR_Billing - Agreements & Discounts,Google Android,Agreement & Discounts,BIL LING,BL,,Agreement & Discounts,,,,Google Android_BL_1.9,Google Android_BL_1,15,2,1,237,1/3/2025
252,DR_Billing - Bill Delivery,Google Android,Bill Delivery Options,BIL LING,BL,,Bill Delivery Options,,,,Google Android_BL_1.10,Google Android_BL_1,16,2,1,237,1/3/2025
253,DR_Billing - Edit Billing Address,Google Android,Address Changes,BIL LING,BL,,Address Changes,,,,Google Android_BL_1.11,Google Android_BL_1,17,2,1,237,1/3/2025
254,DR_Billing - Move My Service,Google Android,Move Service,BIL LING,BL,,Move Service,,,,Google Android_BL_1.12,Google Android_BL_1,18,2,1,237,1/3/2025
255,DR_Billing visits to chat,Google Android,Billing_Interacted with chat,BIL LING,BL,,Billing_Interacted with chat,,,,Google Android_BL_1.13,Google Android_BL_1,19,2,1,237,1/3/2025
256,DR_Wireless Service,Google Android,Visits from 'Cox Mobile' users,COX MOBILE,CM,Visits from 'Cox Mobile' users,,,,,Google Android_CM_1,,20,1,2,,1/3/2025
257,DR_Mymobile HomePage Visits,Google Android,Coxmob Line Detail Page,COX MOBILE,CM,,Coxmob Line Detail Page,,,,Google Android_CM_1.1,Google Android_CM_1,21,2,2,256,1/3/2025
258,DR_Mobile Lock Enabled,Google Android,,COX MOBILE,CM,,,,,,,,22,1,2,,1/3/2025
259,DR_Mobile Lock Disabled,Google Android,,COX MOBILE,CM,,,,,,,,23,1,2,,1/3/2025
260,DR_Change Status Exit link,Google Android,Coxmob Change Status External Link,COX MOBILE,CM,,,Coxmob Change Status External Link,,,Google Android_CM_1.1.1,Google Android_CM_1.1,24,3,2,257,1/3/2025
261,DR_Add a Line,Google Android,Coxmob Add a Line,COX MOBILE,CM,,,Coxmob Add a Line,,,Google Android_CM_1.1.2,Google Android_CM_1.1,25,3,2,257,1/3/2025
262,DR_Change your Plan,Google Android,Coxmob Change  Plan - linkout,COX MOBILE,CM,,,Coxmob Change  Plan - linkout,,,Google Android_CM_1.1.3,Google Android_CM_1.1,26,3,2,257,1/3/2025
263,DR_Change Plan - New,Google Android,Coxmob Change Plan - Native,COX MOBILE,CM,,,Coxmob Change Plan - Native,,,Google Android_CM_1.1.4,Google Android_CM_1.1,27,3,2,257,1/3/2025
264,DR_Change plan - Account Restrictions,Google Android,Coxmob Account Restrictions,COX MOBILE,CM,,,,Coxmob Account Restrictions,,Google Android_CM_1.1.4.1,Google Android_CM_1.1.4,28,4,2,263,1/3/2025
265,DR_Change plan Confirmation,Google Android,Coxmob Plan Purchased,COX MOBILE,CM,,,,Coxmob Plan Purchased,,Google Android_CM_1.1.4.2,Google Android_CM_1.1.4,29,4,2,263,1/3/2025
266,DR_Change Plan - Pay as Gig,Google Android,Coxmob Gig Plan,COX MOBILE,CM,,,,,Coxmob Gig Plan,Google Android_CM_1.1.4.2.1,Google Android_CM_1.1.4.2,30,5,2,265,1/3/2025
267,DR_Change Plan - Unlimited,Google Android,Coxmob Unlimited Plan,COX MOBILE,CM,,,,,Coxmob Unlimited Plan,Google Android_CM_1.1.4.2.2,Google Android_CM_1.1.4.2,31,5,2,265,1/3/2025
268,DR_Welcome Guide,Google Android,Coxmob Welcome Guide,COX MOBILE,CM,,,Coxmob Welcome Guide,,,Google Android_CM_1.1.5,Google Android_CM_1.1,32,3,2,257,1/3/2025
269,DR_Device Payment Plan,Google Android,Coxmob Device Payment Plan,COX MOBILE,CM,,,Coxmob Device Payment Plan,,,Google Android_CM_1.1.6,Google Android_CM_1.1,33,3,2,257,1/3/2025
270,DR_Insurance Claim,Google Android,File a Claim,COX MOBILE,CM,,,File a Claim,,,Google Android_CM_1.1.7,Google Android_CM_1.1,34,3,2,257,1/3/2025
271,DR_Opted for Pay as you Gig Plan,Google Android,Coxmob Pay as you Gig,COX MOBILE,CM,,,Coxmob Pay as you Gig,,,Google Android_CM_1.1.8,Google Android_CM_1.1,35,3,2,257,1/3/2025
272,DR_Opted for Gig Unlimited Plan,Google Android,Coxmob Gig Unlimited Plan,COX MOBILE,CM,,Coxmob Gig Unlimited Plan,,,,Google Android_CM_1.2,Google Android_CM_1,36,2,2,256,1/3/2025
273,DR_Mobile Billing Home,Google Android,Coxmob Billing Home,COX MOBILE,CM,,Coxmob Billing Home,,,,Google Android_CM_1.3,Google Android_CM_1,37,2,2,256,1/3/2025
274,DR_Mobile Billing - Additional Payment,Google Android,Coxmob Make Additional Payment,COX MOBILE,CM,,Coxmob Make Additional Payment,,,,Google Android_CM_1.4,Google Android_CM_1,38,2,2,256,1/3/2025
275,DR_Mobile Billing - Payment Method,Google Android,Coxmob Payment Method Changes,COX MOBILE,CM,,Coxmob Payment Method Changes,,,,Google Android_CM_1.5,Google Android_CM_1,39,2,2,256,1/3/2025
276,DR_Mobile Billing - Activity & Statements,Google Android,Coxmob Activity & Statements,COX MOBILE,CM,,Coxmob Activity & Statements,,,,Google Android_CM_1.6,Google Android_CM_1,40,2,2,256,1/3/2025
277,DR_Mobile Billing - Easypay Confirmation,Google Android,Coxmob Easypay Enrollment,COX MOBILE,CM,,Coxmob Easypay Enrollment,,,,Google Android_CM_1.7,Google Android_CM_1,41,2,2,256,1/3/2025
278,DR_Mobile Billing - Bill Delivery Confirmation,Google Android,Coxmob Bill Delivery Changes,COX MOBILE,CM,,Coxmob Bill Delivery Changes,,,,Google Android_CM_1.8,Google Android_CM_1,42,2,2,256,1/3/2025
279,DR_Wireless Support,Google Android,Coxmob Support Section,COX MOBILE,CM,,Coxmob Support Section,,,,Google Android_CM_1.9,Google Android_CM_1,43,2,2,256,1/3/2025
280,DR_Total Data Usage Visits,Google Android,Total Data Usage Visits,DATA USAGE,DU,Total Data Usage Visits,,,,,Google Android_DU_1,,44,1,3,,1/3/2025
281,DR_Data Plan upgrade,Google Android,Data Plan Upgrade,DATA USAGE,DU,,Data Plan Upgrade,,,,Google Android_DU_1.1,Google Android_DU_1,45,2,3,280,1/3/2025
282,DR_Data Usage Learn More,Google Android,Learn More,DATA USAGE,DU,,Learn More,,,,Google Android_DU_1.2,Google Android_DU_1,46,2,3,280,1/3/2025
283,DR_Data Usage Courtesy Credits,Google Android,Courtesy Credit,DATA USAGE,DU,,Courtesy Credit,,,,Google Android_DU_1.3,Google Android_DU_1,47,2,3,280,1/3/2025
284,DR_Total Data Usage >=75%,Google Android,Data usage >=75%,DATA USAGE,DU,,Data usage >=75%,,,,Google Android_DU_1.4,Google Android_DU_1,48,2,3,280,1/3/2025
285,DR_Total Data Usage >=100%,Google Android,Data usage >=100%,DATA USAGE,DU,,Data usage >=100%,,,,Google Android_DU_1.5,Google Android_DU_1,49,2,3,280,1/3/2025
286,DR_Data Usage - Agent Chat Started,Google Android,Data_usage Interacted with Chat,DATA USAGE,DU,,Data_usage Interacted with Chat,,,,Google Android_DU_1.6,Google Android_DU_1,50,2,3,280,1/3/2025
287,DR_Direct Ecomm Visits Traffic from to Cox.com,Google Android,Total Visits from web ecomm,E COMMERCE,EC,,,,,,,,51,1,4,,1/3/2025
288,DR_Direct Ecomm order Traffic sent from cox.com,Google Android,Total Orders from web ecomm,E COMMERCE,EC,,,,,,,,52,1,4,,1/3/2025
289,DR_Direct Ecomm Traffic sent from App to cox.com,Google Android,Visits sent from app to cox.com,E COMMERCE,EC,Visits sent from app to cox.com,,,,,Google Android_EC_1,,53,1,4,,1/3/2025
290,DR_Direct Ecomm order Traffic sent from App to cox.com,Google Android,Orders generated,E COMMERCE,EC,,,,,,,,54,1,4,,1/3/2025
291,DR_Data Plan Upgrade Ecomm Traffic sent from App to cox.com,Google Android,Data Usage,E COMMERCE,EC,,Data Usage,,,,Google Android_EC_1.1,Google Android_EC_1,55,2,4,289,1/3/2025
292,DR_Service Plan Upgrade Ecomm Traffic sent from App to cox.com,Google Android,Plan Changes,E COMMERCE,EC,,Plan Changes,,,,Google Android_EC_1.2,Google Android_EC_1,56,2,4,289,1/3/2025
293,DR_CRO Ecomm Traffic sent from App to cox.com,Google Android,CRO,E COMMERCE,EC,,CRO,,,,Google Android_EC_1.3,Google Android_EC_1,57,2,4,289,1/3/2025
294,DR_Transfer Ecomm Traffic sent from App to cox.com,Google Android,Transfer,E COMMERCE,EC,,Transfer,,,,Google Android_EC_1.4,Google Android_EC_1,58,2,4,289,1/3/2025
295,DR_Visits where One EC Card was shown,Google Android,Easy Connect Eligible Visits,EASY CON NECT,ECN,Easy Connect Eligible Visits,,,,,Google Android_ECN_1,,59,1,5,,1/3/2025
296,DR_EC Flow>Success,Google Android,Overall Success,EASY CON NECT,ECN,,Overall Success,,,,Google Android_ECN_1.1,Google Android_ECN_1,60,2,5,295,1/3/2025
297,DR_EC>Failure,Google Android,Overall Failure,EASY CON NECT,ECN,,Overall Failure,,,,Google Android_ECN_1.2,Google Android_ECN_1,61,2,5,295,1/3/2025
298,DR_EC Flow>Timeout,Google Android,Overall Timeout,EASY CON NECT,ECN,,Overall Timeout,,,,Google Android_ECN_1.3,Google Android_ECN_1,62,2,5,295,1/3/2025
