"channel_group","month_end","activity","accounts changed target","net revenue target","compl_psu_conn_target"
"Care","2/1/22","Transfer","17","1.47","1648"
"Care","2/1/22","Upgrade","178","13863.12","1648"
"Care","2/1/22","Uptier","46426","667750.59","1648"
"Care","3/1/22","Disconnect","475","-63512.79","1754"
"Care","3/1/22","Downgrade","847","-69935.14","1754"
"Care","3/1/22","Downtier","8210","-186367.99","1754"
"Care","3/1/22","New Connect","1001","101087.19","1754"
"Care","3/1/22","Transfer","28","583.44","1754"
"Care","3/1/22","Upgrade","243","17277.63","1754"
"Care","3/1/22","Uptier","46368","720235.82","1754"
"Care","4/1/22","Disconnect","360","-49129.08","1528"
"Care","4/1/22","Downgrade","723","-55021.64","1528"
"Care","4/1/22","Downtier","8241","-183516.12","1528"
"Care","4/1/22","New Connect","880","85850.91","1528"
"Care","4/1/22","Transfer","23","-326.14","1528"
"Care","4/1/22","Upgrade","286","19922.52","1528"
"Care","4/1/22","Uptier","43073","687542.87","1528"
"Care","5/1/22","Disconnect","375","-52703.34","1566"
"Care","5/1/22","Downgrade","709","-50997.43","1566"
"Care","5/1/22","Downtier","8368","-177592.42","1566"
"Care","5/1/22","New Connect","876","85930.46","1566"
"Care","5/1/22","Transfer","22","323.57","1566"
"Care","5/1/22","Upgrade","288","20562.6","1566"
"Care","5/1/22","Uptier","44640","725748.52","1566"
"Care","6/1/22","Disconnect","566","-67320.1","1625"
"Care","6/1/22","Downgrade","751","-53433.13","1625"
"Care","6/1/22","Downtier","7986","-168132.59","1625"
"Care","6/1/22","New Connect","879","88097.47","1625"
"Care","6/1/22","Transfer","20","-107.92","1625"
"Care","6/1/22","Upgrade","362","23127.87","1625"
"Care","6/1/22","Uptier","45705","757307.55","1625"
"Care","7/1/22","Disconnect","351","-48370.57","1516"
"Care","7/1/22","Downgrade","693","-47310.84","1516"
"Care","7/1/22","Downtier","8774","-182750.09","1516"
"Care","7/1/22","New Connect","864","88190.89","1516"
"Care","7/1/22","Transfer","28","1.48","1516"
"Care","7/1/22","Upgrade","308","20154.73","1516"
"Care","7/1/22","Uptier","43828","730044.22","1516"
"Care","8/1/22","Disconnect","397","-54297.81","1815"
"Care","8/1/22","Downgrade","734","-50582.93","1815"
"Care","8/1/22","Downtier","8960","-187506.82","1815"
"Care","8/1/22","New Connect","1028","107981.68","1815"
"Care","8/1/22","Transfer","39","570.92","1815"
"Care","8/1/22","Upgrade","333","20736.39","1815"
"Care","8/1/22","Uptier","47069","796925.86","1815"
"Care","9/1/22","Disconnect","327","-45243.4","1545"
"Care","9/1/22","Downgrade","755","-47645.29","1545"
"Care","9/1/22","Downtier","8120","-174002.18","1545"
