"date","h_channel_group","h_channel","channel_group","channel","sub_channel","target_version","activity","activity_base","accounts_changed_target","net_revenue_target","psu_connects_target","psu_disconnects_target","ncr_target","company_ac_target"
"2021-01-01 00:00:00.000","Other","Lead Referral","Other","Lead Referral",,"LRP","Uptier","+ Base","935.0","42618.43",,,,"142938.0"
"2021-01-01 00:00:00.000","Other","Outbound","Other","Outbound",,"LRP","Uptier","+ Base","296.0","21350.12",,,,"142938.0"
"2021-01-01 00:00:00.000","Other","Other","Other","Other",,"LRP","Uptier","+ Base","7929.0","175933.35",,,,"142938.0"
"2023-07-01 00:00:00.000","Other","Other","Other","Other",,"OPR","Disconnect","Disconnect","1256.3899843938","-133701.7705918677",,,,"88675.75807051909"
"2020-08-01 00:00:00.000","Other","Other","Other","Other",,"LRP","Transfer","Transfer","579.0","12038.57",,,,"27727.0"
"2022-01-01 00:00:00.000","Retention","Retention","Retention","Retention",,"LRP","New Connect","New Connect","2373.0","227226.15","6921.0",,"2373.0","60554.0"
"2023-07-01 00:00:00.000","Care","Care","Care","Care",,"OPR","Disconnect","Disconnect","386.1092670222","-55377.0854546476",,,,"88675.75807051909"
"2024-01-01 00:00:00.000","Other","Other","Other","Other",,"LRP","Downtier","- Base","22145.0","-1317189.22",,,,"137718.0"
"2022-01-01 00:00:00.000","Care","Care","Care","Care",,"LRP","New Connect","New Connect","934.0","95419.6","1685.0",,"934.0","60554.0"
"2023-07-01 00:00:00.000","Online","National Affiliates","Online","National Affiliates","3rd Party - Affinity","OPR","Disconnect","Disconnect","258.20096860456994","-16238.085715658526",,,,"88675.75807051909"
"2020-08-01 00:00:00.000","Other","Outbound","Other","Outbound",,"LRP","Transfer","Transfer","9.0","377.02",,,,"27727.0"
"2022-01-01 00:00:00.000","Field Sales","Third Party Retail","Field Sales","Third Party Retail",,"LRP","New Connect","New Connect","4554.0","326921.0","7129.0",,"4554.0","60554.0"
"2022-01-01 00:00:00.000","Inbound","Inbound","Inbound","Inbound",,"LRP","New Connect","New Connect","22989.0","2105354.72","44211.0",,"22989.0","60554.0"
"2024-01-01 00:00:00.000","Field Sales","Direct","Field Sales","Direct",,"LRP","Downtier","- Base","306.0","-15538.28",,,,"137718.0"
"2020-08-01 00:00:00.000","Inbound","Inbound","Inbound","Inbound",,"LRP","Transfer","Transfer","16795.0","-42416.29",,,,"27727.0"
"2023-07-01 00:00:00.000","Retail","Retail","Retail","Retail",,"OPR","Disconnect","Disconnect","25862.89337519","-3032334.152980135",,,,"88675.75807051909"
"2022-01-01 00:00:00.000","Online","Cox.com","Online","Cox.com","Cox.com","LRP","New Connect","New Connect",,,"51044.364",,,"60554.0"
"2022-03-01 00:00:00.000","Other","Lead Referral","Other","Lead Referral",,"LRP","Downtier","- Base","670.0","-39665.27",,,,"131350.0"
"2022-03-01 00:00:00.000","Retention","Retention","Retention","Retention",,"LRP","Downtier","- Base","85322.0","-2607670.15",,,,"131350.0"
"2024-11-01 00:00:00.000","Other","Outbound","Other","Outbound",,"LRP","New Connect","New Connect","168.0","9717.01","250.0",,"168.0","57299.0"
"2024-12-01 00:00:00.000","Field Sales","Direct","Field Sales","Direct",,"LRP","Uptier","+ Base","323.0","14777.83",,,,"71088.0"
"2024-11-01 00:00:00.000","Field Sales","Direct","Field Sales","Direct",,"LRP","New Connect","New Connect","5414.0","435496.35","6559.0",,"5414.0","57299.0"
"2025-02-01 00:00:00.000","Online","Cox.com","Online","Cox.com","Cox.com","LRP","New Connect","New Connect","27510.56",,"37242.243",,"27510.56","84213.0"
"2024-11-01 00:00:00.000","Other","Other","Other","Other",,"LRP","New Connect","New Connect","601.0","45828.44","922.0",,"601.0","57299.0"
"2024-08-01 00:00:00.000","Other","Retail","Retail","Retail",,"LRP","Upgrade","+ Base","6162.0","120108.07",,,,"11619.0"
"2024-12-01 00:00:00.000","Retention","Retention","Retention","Retention",,"OPR","Disconnect","Disconnect","45141.00000000001","-4748463.309861825",,,,"78395.2584083508"
"2025-02-01 00:00:00.000","Other","Sales Operations","Other","Sales Operations",,"LRP","New Connect","New Connect","39.0",,"17.0",,"39.0","84213.0"
"2024-08-01 00:00:00.000","Care","Care","Care","Care",,"LRP","Upgrade","+ Base","164.0","11005.69",,,,"11619.0"
"2024-12-01 00:00:00.000","Other","Lead Referral","Other","Lead Referral",,"OPR","Disconnect","Disconnect","322.9609976402","-33219.1475844948",,,,"78395.2584083508"
"2025-02-01 00:00:00.000","Field Sales","Third Party Retail","Field Sales","Third Party Retail",,"LRP","New Connect","New Connect","3352.0",,"5708.0",,"3352.0","84213.0"
"2024-08-01 00:00:00.000","Other","Sales Operations","Other","Sales Operations",,"LRP","Upgrade","+ Base","10.0","263.36",,,,"11619.0"
"2025-02-01 00:00:00.000","Other","Outbound","Other","Outbound",,"LRP","New Connect","New Connect","395.0",,"497.0",,"395.0","84213.0"
"2024-08-01 00:00:00.000","Other","Other","Other","Other",,"LRP","Upgrade","+ Base","165.0","5534.68",,,,"11619.0"
