"CUSTOMER_CATEGORY_DESC","E2E_FINAL_TREATMENT","customer_status_cd","contact_date","Type","channel","customer_key","contact_id","subcontact_id","total_agents","interactions","self_service","chat_count","call_count"
"CB BRONZE","Silver","A","2023-10-01","Single/Mutiple Account Location","Phone First","32","32","34","23","65","16","0","23"
"CB BRONZE","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Digital First","71742","71742","86033","7112","218413","80004","4180","2932"
"CB BRONZE","Bronze","A","2023-10-01","Single/Mutiple Account Location","Phone First","53930","53930","60025","34618","111551","29689","254","34364"
"CB BRONZE","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Phone First","53930","53930","60025","34618","111551","29689","254","34364"
"CB BRONZE","Diamond","A","2023-10-01","Single/Mutiple Relation Location","Phone First","19","19","21","9","36","15","0","9"
"CB BRONZE","Bronze","A","2023-10-01","Single/Mutiple Account Location","Digital First","71742","71742","86033","7112","218413","80004","4180","2932"
"CB BRONZE","Silver","A","2023-10-01","Single/Mutiple Relation Location","Digital First","41","41","61","6","233","55","4","2"
"CB BRONZE","Diamond","A","2023-10-01","Single/Mutiple Relation Location","Digital First","2","2","2","0","2","2","0","0"
"CB BRONZE","Silver","A","2023-10-01","Single/Mutiple Relation Location","Phone First","32","32","34","23","65","16","0","23"
"CB BRONZE","Diamond","A","2023-10-01","Single/Mutiple Account Location","Phone First","19","19","21","9","36","15","0","9"
"CB DIAMOND","Diamond","A","2023-10-01","Single/Mutiple Account Location","Phone First","1548","1548","1711","1230","3795","698","8","1222"
"CB DIAMOND","Bronze","A","2023-10-01","Single/Mutiple Account Location","Digital First","4","4","4","0","8","4","0","0"
"CB DIAMOND","Diamond","A","2023-10-01","Single/Mutiple Relation Location","Digital First","1688","1688","2148","232","8570","1964","117","115"
"CB DIAMOND","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Digital First","4","4","4","0","8","4","0","0"
"CB DIAMOND","Diamond","A","2023-10-01","Single/Mutiple Relation Location","Phone First","1548","1548","1711","1230","3795","698","8","1222"
"CB DIAMOND","Diamond","A","2023-10-01","Single/Mutiple Account Location","Digital First","1688","1688","2148","232","8570","1964","117","115"
"CB GOLD","Diamond","A","2023-10-01","Single/Mutiple Relation Location","Digital First","7","7","9","0","14","9","0","0"
"CB GOLD","Diamond","A","2023-10-01","Single/Mutiple Account Location","Phone First","1","1","1","0","1","1","0","0"
"CB GOLD","Bronze","A","2023-10-01","Single/Mutiple Account Location","Phone First","12","12","12","11","25","1","0","11"
"CB GOLD","Silver","A","2023-10-01","Single/Mutiple Relation Location","Digital First","8","8","8","0","15","8","0","0"
"CB GOLD","Silver","A","2023-10-01","Single/Mutiple Relation Location","Phone First","9","9","9","6","17","3","0","6"
"CB GOLD","Diamond","A","2023-10-01","Single/Mutiple Account Location","Digital First","7","7","9","0","14","9","0","0"
"CB GOLD","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Phone First","12","12","12","11","25","1","0","11"
"CB GOLD","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Digital First","18","18","18","0","28","18","0","0"
